Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,Day Chart
WHBAR-USD,Wrapped HBAR USD,0.076896,-0.004843,-5.92%,2.586B,766703,766703,766703,33.628B,,
HBAR-USD,Hedera USD,0.076585,-0.005113,-6.26%,2.575B,82.85M,82.85M,82.85M,33.628B,,
STX4847-USD,Stacks USD,1.7969,-0.1872,-9.43%,2.572B,574.892M,574.892M,574.892M,1.431B,,
APT21794-USD,Aptos USD,8.1643,-0.6469,-7.34%,2.523B,202.082M,202.082M,202.082M,309.058M,,
IMX10603-USD,Immutable USD,1.88,-0.1262,-6.29%,2.485B,72.314M,72.314M,72.314M,1.322B,,
BTCB-USD,Bitcoin BEP2 USD,45922.72,-1038.53,-2.21%,2.476B,524.302M,524.302M,524.302M,53916,,
KAS-USD,Kaspa USD,0.111198,-0.003132,-2.74%,2.474B,44.143M,44.143M,44.143M,22.252B,,
TIA22861-USD,Celestia USD,15.16,1.12,+7.95%,2.371B,538.51M,538.51M,538.51M,156.386M,,
ARB11841-USD,Arbitrum USD,1.7673,-0.0562,-3.08%,2.253B,1.095B,1.095B,1.095B,1.275B,,
CRO-USD,Cronos USD,0.087911,-0.004139,-4.50%,2.221B,14.03M,14.03M,14.03M,25.263B,,
TUSD-USD,TrueUSD USD,0.99646,-0.001702,-0.17%,2.166B,407.362M,407.362M,407.362M,2.174B,,
VET-USD,VeChain USD,0.029732,-0.001527,-4.88%,2.162B,59.185M,59.185M,59.185M,72.715B,,
MNT27075-USD,Mantle USD,0.657235,0.046927,+7.69%,2.055B,150.925M,150.925M,150.925M,3.127B,,
FDUSD-USD,First Digital USD USD,0.999087,-0.000265,-0.03%,2.036B,4.889B,4.889B,4.889B,2.038B,,
USDE-USD,Energi Dollar USD,0.991622,-0.009488,-0.95%,1.977B,949578,949578,949578,1.994B,,
WBETH-USD,Wrapped Beacon ETH USD,2392.32,-5.63,-0.23%,1.868B,2.997M,2.997M,2.997M,780956,,
BSV-USD,Bitcoin SV USD,90.17,-1.66,-1.81%,1.768B,414.165M,414.165M,414.165M,19.602M,,
MKR-USD,Maker USD,1846.53,40.21,+2.23%,1.699B,117.433M,117.433M,117.433M,920112,,
RUNE-USD,THORChain USD,4.7304,-0.086,-1.78%,1.598B,301.725M,301.725M,301.725M,337.91M,,
SEI-USD,Sei USD,0.66882,-0.073073,-9.85%,1.538B,586.759M,586.759M,586.759M,2.3B,,
GRT6719-USD,The Graph USD,0.158407,-0.012882,-7.52%,1.483B,87.207M,87.207M,87.207M,9.364B,,
ALGO-USD,Algorand USD,0.183516,-0.012478,-6.37%,1.474B,112.712M,112.712M,112.712M,8.033B,,
ORDI-USD,ORDI USD,69.9,-5.25,-6.98%,1.468B,458.155M,458.155M,458.155M,21M,,
TAO22974-USD,Bittensor USD,240.3,-11.14,-4.43%,1.445B,9.126M,9.126M,9.126M,6.012M,,
RETH-USD,Rocket Pool ETH USD,2522.08,-55.44,-2.15%,1.42B,3.853M,3.853M,3.853M,563089,,
RNDR-USD,Render USD,3.8226,-0.1851,-4.62%,1.422B,138.488M,138.488M,138.488M,371.908M,,
AAVE-USD,Aave USD,95.7,-3.43,-3.46%,1.407B,136.081M,136.081M,136.081M,14.704M,,
QNT-USD,Quant USD,115.27,-4.86,-4.04%,1.392B,24.068M,24.068M,24.068M,12.073M,,
EGLD-USD,MultiversX USD,52.31,-3.19,-5.75%,1.383B,41.989M,41.989M,41.989M,26.432M,,
1000SATS-USD,SATS USD,0.000585,-7.8e-05,-11.73%,1.229B,61.845M,61.845M,61.845M,2.1T,,
MINA-USD,Mina USD,1.1,-0.0972,-8.12%,1.135B,127.56M,127.56M,127.56M,1.032B,,
FLOW-USD,Flow USD,0.755839,-0.062283,-7.61%,1.119B,83.457M,83.457M,83.457M,1.481B,,
HNT-USD,Helium USD,6.7425,1.3419,+24.85%,1.077B,53.265M,53.265M,53.265M,159.796M,,
FTM-USD,Fantom USD,0.369289,-0.03166,-7.90%,1.035B,90.429M,90.429M,90.429M,2.804B,,
HEX-USD,HEX USD,0.005866,0.001024,+21.14%,1.017B,2.094M,2.094M,2.094M,173.411B,,
THETA-USD,Theta Network USD,1.0105,-0.0823,-7.53%,1.011B,29.631M,29.631M,29.631M,1B,,
SNX-USD,Synthetix USD,3.2941,-0.0796,-2.36%,1.002B,56.446M,56.446M,56.446M,304.18M,,
SAND-USD,The Sandbox USD,0.472823,-0.031321,-6.21%,1.002B,128.002M,128.002M,128.002M,2.119B,,
BTT-USD,BitTorrent(New) USD,1.02e-06,-4e-08,-3.72%,991.442M,35.037M,35.037M,35.037M,968.246T,,
AXS-USD,Axie Infinity USD,7.3883,-0.5341,-6.74%,975.56M,72.149M,72.149M,72.149M,132.04M,,
WEMIX-USD,WEMIX USD,2.8134,0.1963,+7.50%,990.39M,31.551M,31.551M,31.551M,352.03M,,
KCS-USD,KuCoin Token USD,9.8306,-0.18,-1.80%,950.039M,1.976M,1.976M,1.976M,96.641M,,
BGB-USD,Bitget Token USD,0.636147,0.00376,+0.59%,890.605M,15.332M,15.332M,15.332M,1.4B,,
BEAM28298-USD,Beam USD,0.017705,-0.00149,-7.76%,878.724M,34.967M,34.967M,34.967M,49.631B,,
SUI20947-USD,Sui USD,0.793264,-0.070786,-8.19%,873.341M,226.942M,226.942M,226.942M,1.101B,,
OSMO-USD,Osmosis USD,1.7609,-0.0273,-1.53%,867.381M,62.544M,62.544M,62.544M,492.591M,,
BONK-USD,Bonk USD,1.4e-05,1e-06,+10.84%,861.13M,492.193M,492.193M,492.193M,63.334T,,
